date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,is_friendly
2021-10-12,Jordan,Uzbekistan,3.0,0.0,Friendly,Amman,Jordan,False,True
2021-10-13,Canada,Panama,4.0,1.0,FIFA World Cup qualification,Toronto,Canada,False,False
2021-10-14,Colombia,Ecuador,0.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,False,False
2021-10-14,Brazil,Uruguay,4.0,1.0,FIFA World Cup qualification,Manaus,Brazil,False,False
2021-10-27,Mexico,Ecuador,2.0,3.0,Friendly,Charlotte,United States,True,True
2021-11-11,Australia,Saudi Arabia,0.0,0.0,FIFA World Cup qualification,Sydney,Australia,False,False
2021-11-11,Brazil,Colombia,1.0,0.0,FIFA World Cup qualification,São Paulo,Brazil,False,False
2021-11-12,United States,Mexico,2.0,0.0,FIFA World Cup qualification,Cincinnati,United States,False,False
2021-11-12,Uruguay,Argentina,0.0,1.0,FIFA World Cup qualification,Montevideo,Uruguay,False,False
2021-11-14,Ghana,South Africa,1.0,0.0,FIFA World Cup qualification,Cape Coast,Ghana,False,False
2021-11-14,Spain,Sweden,1.0,0.0,FIFA World Cup qualification,Seville,Spain,False,False
2021-11-16,Iraq,South Korea,0.0,3.0,FIFA World Cup qualification,Al Rayyan,Qatar,True,False
2021-11-16,Canada,Mexico,2.0,1.0,FIFA World Cup qualification,Edmonton,Canada,False,False
2021-11-16,Netherlands,Norway,2.0,0.0,FIFA World Cup qualification,Rotterdam,Netherlands,False,False
2021-11-16,Colombia,Paraguay,0.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,False,False
2021-11-16,Argentina,Brazil,0.0,0.0,FIFA World Cup qualification,San Juan,Argentina,False,False
2021-12-01,Saudi Arabia,Jordan,0.0,1.0,Arab Cup,Al Rayyan,Qatar,True,False
2021-12-04,Jordan,Morocco,0.0,4.0,Arab Cup,Al Rayyan,Qatar,True,False
2021-12-06,Qatar,Iraq,3.0,0.0,Arab Cup,Al Khor,Qatar,False,False
2021-12-07,Morocco,Saudi Arabia,1.0,0.0,Arab Cup,Doha,Qatar,True,False
2021-12-07,Algeria,Egypt,1.0,1.0,Arab Cup,Al Wakrah,Qatar,True,False
2021-12-11,Egypt,Jordan,3.0,1.0,Arab Cup,Al Wakrah,Qatar,True,False
2021-12-11,Morocco,Algeria,2.0,2.0,Arab Cup,Doha,Qatar,True,False
2021-12-15,Tunisia,Egypt,1.0,0.0,Arab Cup,Doha,Qatar,True,False
2021-12-15,Qatar,Algeria,1.0,2.0,Arab Cup,Doha,Qatar,False,False
2021-12-18,Qatar,Egypt,0.0,0.0,Arab Cup,Doha,Qatar,False,False
2021-12-18,Tunisia,Algeria,0.0,2.0,Arab Cup,Al Khor,Qatar,True,False
2021-12-18,United States,Bosnia and Herzegovina,1.0,0.0,Friendly,Los Angeles,United States,False,True
2022-01-05,Algeria,Ghana,3.0,0.0,Friendly,Al Rayyan,Qatar,True,True
2022-01-10,Morocco,Ghana,1.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True,False
2022-01-27,Iran,Iraq,1.0,0.0,FIFA World Cup qualification,Tehran,Iran,False,False
2022-01-27,Ecuador,Brazil,1.0,1.0,FIFA World Cup qualification,Quito,Ecuador,False,False
2022-01-27,Paraguay,Uruguay,0.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,False,False
2022-01-28,Jordan,New Zealand,3.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,True
2022-01-30,Egypt,Morocco,2.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True,False
2022-01-30,Canada,United States,2.0,0.0,FIFA World Cup qualification,Hamilton,Canada,False,False
2022-02-01,Japan,Saudi Arabia,2.0,0.0,FIFA World Cup qualification,Saitama,Japan,False,False
2022-02-01,Argentina,Colombia,1.0,0.0,FIFA World Cup qualification,Córdoba,Argentina,False,False
2022-02-01,Brazil,Paraguay,4.0,0.0,FIFA World Cup qualification,Belo Horizonte,Brazil,False,False
2022-02-02,Mexico,Panama,1.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,False
2022-02-06,Senegal,Egypt,0.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True,False
2022-03-24,Mexico,United States,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,False
2022-03-24,South Korea,Iran,2.0,0.0,FIFA World Cup qualification,Seoul,South Korea,False,False
2022-03-24,Australia,Japan,0.0,2.0,FIFA World Cup qualification,Sydney,Australia,False,False
2022-03-24,Paraguay,Ecuador,3.0,1.0,FIFA World Cup qualification,Ciudad del Este,Paraguay,False,False
2022-03-25,Egypt,Senegal,1.0,0.0,FIFA World Cup qualification,Cairo,Egypt,False,False
2022-03-26,England,Switzerland,2.0,1.0,Friendly,London,England,False,True
2022-03-27,United States,Panama,5.0,1.0,FIFA World Cup qualification,Orlando,United States,False,False
2022-03-29,Senegal,Egypt,1.0,0.0,FIFA World Cup qualification,Diamniadio,Senegal,False,False
2022-03-29,Saudi Arabia,Australia,1.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False,False
2022-03-29,Ecuador,Argentina,1.0,1.0,FIFA World Cup qualification,Guayaquil,Ecuador,False,False
2022-03-29,Austria,Scotland,2.0,2.0,Friendly,Vienna,Austria,False,True
2022-03-29,France,South Africa,5.0,0.0,Friendly,Villeneuve D'Ascq,Algeria,True,True
2022-03-29,Netherlands,Germany,1.0,1.0,Friendly,Amsterdam,Netherlands,False,True
2022-03-30,Panama,Canada,1.0,0.0,FIFA World Cup qualification,Panama City,Panama,False,False
2022-06-01,Australia,Jordan,2.0,1.0,Friendly,Al Wakrah,Qatar,True,True
2022-06-01,United States,Morocco,3.0,0.0,Friendly,Cincinnati,United States,False,True
2022-06-02,Spain,Portugal,1.0,1.0,UEFA Nations League,Seville,Spain,False,False
2022-06-02,Japan,Paraguay,4.0,1.0,Friendly,Sapporo,Japan,False,True
2022-06-02,South Korea,Brazil,1.0,5.0,Friendly,Seoul,South Korea,False,True
2022-06-02,Mexico,Uruguay,0.0,3.0,Friendly,Glendale,United States,True,True
2022-06-03,Croatia,Austria,0.0,3.0,UEFA Nations League,Osijek,Croatia,False,False
2022-06-03,Belgium,Netherlands,1.0,4.0,UEFA Nations League,Brussels,Belgium,False,False
2022-06-05,Portugal,Switzerland,4.0,0.0,UEFA Nations League,Lisbon,Portugal,False,False
2022-06-05,Sweden,Norway,1.0,2.0,UEFA Nations League,Stockholm,Sweden,False,False
2022-06-05,Mexico,Ecuador,0.0,0.0,Friendly,Chicago,United States,True,True
2022-06-05,Saudi Arabia,Colombia,0.0,1.0,Friendly,Murcia,Spain,True,True
2022-06-05,United States,Uruguay,0.0,0.0,Friendly,Kansas City,United States,False,True
2022-06-06,Croatia,France,1.0,1.0,UEFA Nations League,Split,Croatia,False,False
2022-06-06,Japan,Brazil,0.0,1.0,Friendly,Tokyo,Japan,False,True
2022-06-07,Germany,England,1.0,1.0,UEFA Nations League,Munich,Germany,False,False
2022-06-09,Morocco,South Africa,2.0,1.0,African Cup of Nations qualification,Rabat,Morocco,False,False
2022-06-09,Canada,Curaçao,4.0,0.0,CONCACAF Nations League,Vancouver,Canada,False,False
2022-06-09,Switzerland,Spain,0.0,1.0,UEFA Nations League,Geneva,Switzerland,False,False
2022-06-10,Austria,France,1.0,1.0,UEFA Nations League,Vienna,Austria,False,False
2022-06-10,South Korea,Paraguay,2.0,2.0,Friendly,Suwon,South Korea,False,True
2022-06-10,Japan,Ghana,4.0,1.0,Kirin Cup,Kobe,Japan,False,False
2022-06-11,Uruguay,Panama,5.0,0.0,Friendly,Montevideo,Uruguay,False,True
2022-06-12,Switzerland,Portugal,1.0,0.0,UEFA Nations League,Geneva,Switzerland,False,False
2022-06-12,Norway,Sweden,3.0,2.0,UEFA Nations League,Oslo,Norway,False,False
2022-06-12,Iran,Algeria,1.0,2.0,Friendly,Doha,Qatar,True,True
2022-06-13,France,Croatia,0.0,1.0,UEFA Nations League,Paris,France,False,False
2022-06-14,Japan,Tunisia,0.0,3.0,Kirin Cup,Suita,Japan,False,False
2022-06-14,South Korea,Egypt,4.0,1.0,Friendly,Seoul,South Korea,False,True
2022-07-27,Japan,South Korea,3.0,0.0,EAFF Championship,Toyota,Japan,False,False
2022-08-31,Mexico,Paraguay,0.0,1.0,Friendly,Atlanta,United States,True,True
2022-09-22,Australia,New Zealand,1.0,0.0,Friendly,Brisbane,Australia,False,True
2022-09-22,France,Austria,2.0,0.0,UEFA Nations League,Paris,France,False,False
2022-09-23,Japan,United States,2.0,0.0,Kirin Challenge Cup,Düsseldorf,Germany,True,False
2022-09-23,Brazil,Ghana,3.0,0.0,Friendly,Le Havre,France,True,True
2022-09-23,Canada,Qatar,2.0,0.0,Friendly,Vienna,Austria,True,True
2022-09-23,Iran,Uruguay,1.0,0.0,Friendly,Sankt Pölten,Austria,True,True
2022-09-23,Saudi Arabia,Ecuador,0.0,0.0,Friendly,Murcia,Spain,True,True
2022-09-24,Spain,Switzerland,1.0,2.0,UEFA Nations League,Zaragoza,Spain,False,False
2022-09-25,New Zealand,Australia,0.0,2.0,Friendly,Auckland,New Zealand,False,True
2022-09-25,Austria,Croatia,1.0,3.0,UEFA Nations League,Vienna,Austria,False,False
2022-09-25,Netherlands,Belgium,1.0,0.0,UEFA Nations League,Amsterdam,Netherlands,False,False
2022-09-26,England,Germany,3.0,3.0,UEFA Nations League,London,England,False,False
2022-09-27,Brazil,Tunisia,5.0,1.0,Friendly,Paris,France,True,True
2022-09-27,Canada,Uruguay,0.0,2.0,Friendly,Bratislava,Slovakia,True,True
2022-09-27,Ecuador,Japan,0.0,0.0,Kirin Challenge Cup,Düsseldorf,Germany,True,False
2022-09-27,Iran,Senegal,1.0,1.0,Friendly,Maria Enzersdorf,Austria,True,True
2022-09-27,Mexico,Colombia,2.0,3.0,Friendly,Santa Clara,United States,True,True
2022-09-27,Paraguay,Morocco,0.0,0.0,Friendly,Seville,Spain,True,True
2022-09-27,Saudi Arabia,United States,0.0,0.0,Friendly,Murcia,Spain,True,True
2022-09-27,Portugal,Spain,0.0,1.0,UEFA Nations League,Braga,Portugal,False,False
2022-11-07,Qatar,Panama,2.0,1.0,Friendly,Marbella,Spain,True,True
2022-11-09,Mexico,Iraq,4.0,0.0,Friendly,Girona,Spain,True,True
2022-11-10,Saudi Arabia,Panama,1.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,True
2022-11-12,Iraq,Ecuador,0.0,0.0,Friendly,Madrid,Spain,True,True
2022-11-16,Iran,Tunisia,0.0,2.0,Friendly,Doha,Qatar,True,True
2022-11-16,Mexico,Sweden,1.0,2.0,Friendly,Girona,Spain,True,True
2022-11-16,Saudi Arabia,Croatia,0.0,1.0,Friendly,Riyadh,Saudi Arabia,False,True
2022-11-17,Japan,Canada,1.0,2.0,Friendly,Dubai,United Arab Emirates,True,True
2022-11-17,Jordan,Spain,1.0,3.0,Friendly,Amman,Jordan,False,True
2022-11-17,Switzerland,Ghana,0.0,2.0,Friendly,Abu Dhabi,United Arab Emirates,True,True
2022-11-18,Egypt,Belgium,2.0,1.0,Friendly,Kuwait City,Kuwait,True,True
2022-11-19,Colombia,Paraguay,2.0,0.0,Friendly,Fort Lauderdale,United States,True,True
2022-11-19,Sweden,Algeria,2.0,0.0,Friendly,Malmö,Sweden,False,True
2022-11-20,Qatar,Ecuador,0.0,2.0,FIFA World Cup,Al Khor,Qatar,False,False
2022-11-21,Senegal,Netherlands,0.0,2.0,FIFA World Cup,Doha,Qatar,True,False
2022-11-21,England,Iran,6.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-11-22,Argentina,Saudi Arabia,1.0,2.0,FIFA World Cup,Lusail,Qatar,True,False
2022-11-22,France,Australia,4.0,1.0,FIFA World Cup,Al Wakrah,Qatar,True,False
2022-11-23,Germany,Japan,1.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-11-23,Morocco,Croatia,0.0,0.0,FIFA World Cup,Al Khor,Qatar,True,False
2022-11-23,Belgium,Canada,1.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-11-24,Uruguay,South Korea,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-11-24,Portugal,Ghana,3.0,2.0,FIFA World Cup,Doha,Qatar,True,False
2022-11-25,Qatar,Senegal,1.0,3.0,FIFA World Cup,Doha,Qatar,False,False
2022-11-25,Netherlands,Ecuador,1.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-11-25,England,United States,0.0,0.0,FIFA World Cup,Al Khor,Qatar,True,False
2022-11-26,Argentina,Mexico,2.0,0.0,FIFA World Cup,Lusail,Qatar,True,False
2022-11-26,Tunisia,Australia,0.0,1.0,FIFA World Cup,Al Wakrah,Qatar,True,False
2022-11-27,Spain,Germany,1.0,1.0,FIFA World Cup,Al Khor,Qatar,True,False
2022-11-27,Belgium,Morocco,0.0,2.0,FIFA World Cup,Doha,Qatar,True,False
2022-11-27,Croatia,Canada,4.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-11-28,Brazil,Switzerland,1.0,0.0,FIFA World Cup,Doha,Qatar,True,False
2022-11-28,South Korea,Ghana,2.0,3.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-11-28,Portugal,Uruguay,2.0,0.0,FIFA World Cup,Lusail,Qatar,True,False
2022-11-29,Ecuador,Senegal,1.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-11-29,Qatar,Netherlands,0.0,2.0,FIFA World Cup,Al Khor,Qatar,False,False
2022-11-29,Iran,United States,0.0,1.0,FIFA World Cup,Doha,Qatar,True,False
2022-11-30,Saudi Arabia,Mexico,1.0,2.0,FIFA World Cup,Lusail,Qatar,True,False
2022-11-30,Tunisia,France,1.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-12-01,Japan,Spain,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-12-01,Croatia,Belgium,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-12-01,Canada,Morocco,1.0,2.0,FIFA World Cup,Doha,Qatar,True,False
2022-12-02,Ghana,Uruguay,0.0,2.0,FIFA World Cup,Al Wakrah,Qatar,True,False
2022-12-02,South Korea,Portugal,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-12-03,Netherlands,United States,3.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-12-03,Argentina,Australia,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-12-04,England,Senegal,3.0,0.0,FIFA World Cup,Al Khor,Qatar,True,False
2022-12-05,Japan,Croatia,1.0,1.0,FIFA World Cup,Al Wakrah,Qatar,True,False
2022-12-05,Brazil,South Korea,4.0,1.0,FIFA World Cup,Doha,Qatar,True,False
2022-12-06,Morocco,Spain,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-12-06,Portugal,Switzerland,6.0,1.0,FIFA World Cup,Lusail,Qatar,True,False
2022-12-09,Croatia,Brazil,1.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-12-09,Netherlands,Argentina,2.0,2.0,FIFA World Cup,Lusail,Qatar,True,False
2022-12-10,Morocco,Portugal,1.0,0.0,FIFA World Cup,Doha,Qatar,True,False
2022-12-10,England,France,1.0,2.0,FIFA World Cup,Al Khor,Qatar,True,False
2022-12-13,Argentina,Croatia,3.0,0.0,FIFA World Cup,Lusail,Qatar,True,False
2022-12-14,France,Morocco,2.0,0.0,FIFA World Cup,Al Khor,Qatar,True,False
2022-12-17,Croatia,Morocco,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,False
2022-12-18,Argentina,France,3.0,3.0,FIFA World Cup,Lusail,Qatar,True,False
2023-01-09,Iraq,Saudi Arabia,2.0,0.0,Gulf Cup,Basra,Iraq,False,False
2023-01-16,Iraq,Qatar,2.0,1.0,Gulf Cup,Basra,Iraq,False,False
2023-01-28,United States,Colombia,0.0,0.0,Friendly,Carson,United States,False,True
2023-03-23,Argentina,Panama,2.0,0.0,Friendly,Buenos Aires,Argentina,False,True
2023-03-24,Australia,Ecuador,3.0,1.0,Friendly,Sydney,Australia,False,True
2023-03-24,Japan,Uruguay,1.0,1.0,Friendly,Tokyo,Japan,False,True
2023-03-24,South Korea,Colombia,2.0,2.0,Friendly,Ulsan,South Korea,False,True
2023-03-24,France,Netherlands,4.0,0.0,UEFA Euro qualification,Paris,France,False,False
2023-03-24,Sweden,Belgium,0.0,3.0,UEFA Euro qualification,Stockholm,Sweden,False,False
2023-03-25,Morocco,Brazil,2.0,1.0,Friendly,Tangier,Morocco,False,True
2023-03-25,Spain,Norway,3.0,0.0,UEFA Euro qualification,Málaga,Spain,False,False
2023-03-25,Curaçao,Canada,0.0,2.0,CONCACAF Nations League,Willemstad,Curaçao,False,False
2023-03-28,Argentina,Curaçao,7.0,0.0,Friendly,Santiago del Estero,Argentina,False,True
2023-03-28,Australia,Ecuador,1.0,2.0,Friendly,Melbourne,Australia,False,True
2023-03-28,Germany,Belgium,2.0,3.0,Friendly,Cologne,Germany,False,True
2023-03-28,Japan,Colombia,1.0,2.0,Friendly,Osaka,Japan,False,True
2023-03-28,South Korea,Uruguay,1.0,2.0,Friendly,Seoul,South Korea,False,True
2023-03-28,Scotland,Spain,2.0,0.0,UEFA Euro qualification,Glasgow,Scotland,False,False
2023-04-19,United States,Mexico,1.0,1.0,Friendly,Glendale,United States,False,True
2023-06-14,Netherlands,Croatia,2.0,4.0,UEFA Nations League,Rotterdam,Netherlands,False,False
2023-06-15,Panama,Canada,0.0,2.0,CONCACAF Nations League,Las Vegas,United States,True,False
2023-06-15,United States,Mexico,3.0,0.0,CONCACAF Nations League,Las Vegas,United States,False,False
2023-06-15,Argentina,Australia,2.0,0.0,Friendly,Beijing,China PR,True,True
2023-06-16,Colombia,Iraq,1.0,0.0,Friendly,Valencia,Spain,True,True
2023-06-16,Sweden,New Zealand,4.0,1.0,Friendly,Stockholm,Sweden,False,True
2023-06-17,Norway,Scotland,1.0,2.0,UEFA Euro qualification,Oslo,Norway,False,False
2023-06-17,Belgium,Austria,1.0,1.0,UEFA Euro qualification,Brussels,Belgium,False,False
2023-06-17,Portugal,Bosnia and Herzegovina,3.0,0.0,UEFA Euro qualification,Lisbon,Portugal,False,False
2023-06-17,South Africa,Morocco,2.0,1.0,African Cup of Nations qualification,Johannesburg,South Africa,False,False
2023-06-18,Panama,Mexico,0.0,1.0,CONCACAF Nations League,Las Vegas,United States,True,False
2023-06-18,United States,Canada,2.0,0.0,CONCACAF Nations League,Las Vegas,United States,False,False
2023-06-18,Croatia,Spain,0.0,0.0,UEFA Nations League,Rotterdam,Netherlands,True,False
2023-06-20,Algeria,Tunisia,1.0,1.0,Friendly,Annaba,Algeria,False,True
2023-06-20,Brazil,Senegal,2.0,4.0,Friendly,Lisbon,Portugal,True,True
2023-06-20,Germany,Colombia,0.0,2.0,Friendly,Gelsenkirchen,Germany,False,True
2023-06-20,Austria,Sweden,2.0,0.0,UEFA Euro qualification,Vienna,Austria,False,False
2023-06-20,Uzbekistan,Iran,0.0,1.0,CAFA Nations Cup,Tashkent,Uzbekistan,False,False
2023-06-25,Haiti,Qatar,2.0,1.0,Gold Cup,Houston,United States,True,False
2023-06-29,Haiti,Mexico,1.0,3.0,Gold Cup,Glendale,United States,True,False
2023-07-02,Mexico,Qatar,0.0,1.0,Gold Cup,Santa Clara,United States,True,False
2023-07-08,Panama,Qatar,4.0,0.0,Gold Cup,Arlington,United States,True,False
2023-07-09,United States,Canada,2.0,2.0,Gold Cup,Cincinnati,United States,False,False
2023-07-12,United States,Panama,1.0,1.0,Gold Cup,San Diego,United States,False,False
2023-07-16,Mexico,Panama,1.0,0.0,Gold Cup,Inglewood,United States,True,False
2023-09-07,Argentina,Ecuador,1.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,False,False
2023-09-07,Norway,Jordan,6.0,0.0,Friendly,Oslo,Norway,False,True
